Bajaj Auto,BAJAJ-AUTO.NS,Automobile
Eicher Motors,EICHERMOT.NS,Automobile
Hero MotoCorp,HEROMOTOCO.NS,Automobile
Mahindra & Mahindra,M&M.NS,Automobile
Maruti Suzuki,MARUTI.NS,Automobile
Tata Motors,TATAMOTORS.NS,Automobile
Axis Bank,AXISBANK.NS,Banking
HDFC Bank,HDFCBANK.NS,Banking
ICICI Bank,ICICIBANK.NS,Banking
IndusInd Bank,INDUSINDBK.NS,Banking
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
State Bank of India,SBIN.NS,Banking
Grasim Industries,GRASIM.NS,Cement
UltraTech Cement,ULTRACEMCO.NS,Cement
Shree Cement,SHREECEM.NS,Cement
United Phosphorus Limited,UPL.NS,Chemicals
Larsen & Toubro,LT.NS,Construction
Asian Paints Ltd,ASIANPAINT.NS,Consumer Goods
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods
Britannia Industries,BRITANNIA.NS,Consumer Goods
ITC Limited,ITC.NS,Consumer Goods
Titan Company,TITAN.NS,Consumer Goods
BPCL,BPCL.NS,Energy - Oil & Gas
GAIL,GAIL.NS,Energy - Oil & Gas
IOC,IOC.NS,Energy - Oil & Gas
ONGC,ONGC.NS,Energy - Oil & Gas
Reliance Industries,RELIANCE.NS,Energy - Oil & Gas
NTPC Limited,NTPC.NS,Energy - Power
PowerGrid Corporation of India,POWERGRID.NS,Energy - Power
Coal India,COALINDIA.NS,Energy & Mining
Bajaj Finance,BAJFINANCE.NS,Financial Services
Bajaj Finserv,BAJAJFINSV.NS,Financial Services
HDFC,HDFC.NS,Financial Services
Nestle India Ltd,NESTLEIND.NS,Food Processing
HCL Technologies,HCLTECH.NS,Information Technology
Infosys,INFY.NS,Information Technology
Tata Consultancy Services,TCS.NS,Information Technology
Tech Mahindra,TECHM.NS,Information Technology
Wipro,WIPRO.NS,Information Technology
Adani Ports,ADANIPORTS.NS,Infrastructure
Zee Entertainment Enterprises,ZEEL.NS,Media & Entertainment
Hindalco Industries,HINDALCO.NS,Metals
JSW Steel,JSWSTEEL.NS,Metals
Tata Steel,TATASTEEL.NS,Metals
Vedanta,VEDL.NS,Metals
Cipla,CIPLA.NS,Pharmaceuticals
Dr Reddy Lab,DRREDDY.NS,Pharmaceuticals
Sun Pharmaceutical,SUNPHARMA.NS,Pharmaceuticals
Bharti Airtel,BHARTIARTL.NS,Telecommunication
Bharti Infratel Ltd.,INFRATEL.NS,Telecommunication 